team,start,end,total_war,avg_war,total_wins,avg_wins
KC1,1961,1965,72.2,14.4,322,64
MIA,2019,2023,71.9,14.4,308,62
SEA,2009,2013,71.7,14.3,359,72
TEX,1982,1986,71.6,14.3,359,72
DET,2015,2019,71.6,14.3,335,67
DET,2000,2004,71.4,14.3,315,63
SDN,1970,1974,71.2,14.2,302,60
DET,1972,1976,71.1,14.2,374,75
BAL,2007,2011,70.8,14.2,336,67
KCA,1996,2000,70.7,14.1,355,71
KCA,1995,1999,70.6,14.1,348,70
BAL,1985,1989,70.5,14.1,364,73
KC1,1958,1962,70.2,14.0,330,66
SEA,1983,1987,70.2,14.0,353,71
CHN,1954,1958,70.0,14.0,330,66
SDN,1971,1975,69.8,14.0,310,62
KCA,2005,2009,69.8,14.0,327,65
CHA,2015,2019,69.7,13.9,355,71
WS2,1962,1966,69.7,13.9,319,64
BAL,1984,1988,69.6,13.9,362,72
CAL,1991,1995,68.9,13.8,349,70
MIA,2020,2024,67.1,13.4,313,63
SDN,1972,1976,66.7,13.3,322,64
ML4,1970,1974,66.3,13.3,349,70
CHA,1976,1980,65.9,13.2,368,74
CHN,1953,1957,65.5,13.1,323,65
WS1,1953,1957,65.3,13.1,309,62
CHA,1985,1989,65.2,13.0,374,75
CAL,1971,1975,65.2,13.0,370,74
KC1,1960,1964,65.1,13.0,321,64
MIN,1979,1983,64.7,12.9,330,66
BAL,2016,2020,64.7,12.9,290,58
MIA,2017,2021,64.5,12.9,295,59
ML4,1971,1975,64.3,12.9,352,70
CAL,1992,1996,64.0,12.8,338,68
TEX,1981,1985,63.9,12.8,329,66
WS1,1956,1960,63.7,12.7,311,62
KCA,1999,2003,63.7,12.7,351,70
DET,1974,1978,63.5,12.7,363,73
KCA,2018,2022,63.2,12.6,282,56
ML4,1972,1976,62.5,12.5,349,70
PIT,1953,1957,62.3,12.5,291,58
WS2,1961,1965,62.0,12.4,309,62
OAK,1993,1997,62.0,12.4,329,66
KC1,1957,1961,61.6,12.3,317,63
DET,2001,2005,61.0,12.2,307,61
DET,1999,2003,60.9,12.2,312,62
SEA,2008,2012,60.2,12.0,349,70
CLE,1969,1973,60.1,12.0,341,68
BAL,1987,1991,60.0,12.0,351,70
BAL,2000,2004,59.9,12.0,353,71
TBA,2003,2007,59.9,12.0,327,65
PHA,1950,1954,59.8,12.0,311,62
ML4,1973,1977,59.8,12.0,351,70
CAL,1990,1994,59.4,11.9,351,70
KCA,2019,2023,59.0,11.8,280,56
KCA,1997,2001,58.7,11.7,345,69
CLE,1970,1974,58.7,11.7,356,71
DET,1973,1977,57.7,11.5,362,72
DET,2020,2024,57.7,11.5,330,66
OAK,2020,2024,57.4,11.5,301,60
CAL,1972,1976,57.4,11.5,370,74
DET,1994,1998,57.4,11.5,310,62
OAK,1980,1984,57.3,11.5,366,73
OAK,1976,1980,56.6,11.3,356,71
PIT,2018,2022,56.5,11.3,293,59
DET,1995,1999,56.1,11.2,326,65
CHA,2016,2020,55.8,11.2,314,63
SEA,1981,1985,55.7,11.1,328,66
BAL,1986,1990,55.6,11.1,357,71
COL,2021,2025,55.6,11.1,305,61
TEX,2017,2021,54.4,10.9,305,61
DET,2016,2020,54.2,10.8,284,57
OAK,1982,1986,52.1,10.4,372,74
TEX,2018,2022,52.0,10.4,295,59
BAL,1999,2003,51.9,10.4,353,71
MIN,1981,1985,51.6,10.3,329,66
OAK,1981,1985,51.6,10.3,360,72
SEA,1982,1986,51.5,10.3,351,70
WS1,1954,1958,51.4,10.3,294,59
CAL,1974,1978,50.9,10.2,377,75
KCA,2000,2004,50.4,10.1,345,69
KCA,1998,2002,49.8,10.0,340,68
MIA,2018,2022,49.0,9.8,287,57
PIT,2021,2025,48.4,9.7,346,69
CLE,1971,1975,48.3,9.7,359,72
TOR,1979,1983,47.9,9.6,324,65
KCA,2003,2007,47.5,9.5,328,66
CAL,1973,1977,47.4,9.5,369,74
KCA,2004,2008,46.5,9.3,320,64
KC1,1956,1960,45.6,9.1,308,62
WS1,1955,1959,45.1,9.0,291,58
MIN,1980,1984,44.7,8.9,329,66
NYN,1963,1967,43.7,8.7,281,56
SEA,1978,1982,42.3,8.5,302,60
OAK,1977,1981,42.1,8.4,333,67
KCA,2001,2005,41.8,8.4,324,65
KCA,2002,2006,39.1,7.8,321,64
SEA,1977,1981,38.9,7.8,290,58
SEA,1980,1984,38.2,7.6,313,63
SEA,1979,1983,37.8,7.6,306,61
NYN,1962,1966,37.2,7.4,260,52
PIT,1952,1956,36.9,7.4,271,54
DET,2019,2023,36.1,7.2,291,58
PIT,2020,2024,35.2,7.0,294,59
TBA,1998,2002,32.2,6.4,318,64
PIT,1950,1954,32.0,6.4,266,53
BAL,2018,2022,31.5,6.3,261,52
PIT,2019,2023,30.6,6.1,287,57
KC1,1955,1959,29.8,6.0,313,63
OAK,1979,1983,29.7,5.9,343,69
BAL,2017,2021,29.4,5.9,253,51
TBA,2002,2006,28.4,5.7,316,63
OAK,1978,1982,27.6,5.5,338,68
DET,2017,2021,27.1,5.4,275,55
TBA,2001,2005,26.9,5.4,317,63
PIT,1951,1955,25.7,5.1,269,54
WAS,2020,2024,24.8,5.0,288,58
WAS,2021,2025,22.0,4.4,328,66
TBA,2000,2004,19.9,4.0,319,64
DET,2018,2022,18.4,3.7,277,55
TBA,1999,2003,17.4,3.5,318,64
TOR,1978,1982,12.8,2.6,294,59
TOR,1977,1981,3.9,0.8,270,54
