playerID,name,peak_war,peak_age,career_war,avg_war,first_age,last_age,career_length,early_war,late_war,prime_war,trajectory_slope,n_seasons,cluster,career_type
aardsda01,David Aardsma,2.49,28.0,2.5700000000000007,0.36714285714285727,25.0,34.0,10.0,-0.10333333333333333,0.12999999999999998,0.5800000000000001,0.8233333333333335,7,6,JOURNEYMAN
aaronha01,Hank Aaron,8.92,28.0,121.43000000000002,5.279565217391306,20.0,42.0,23.0,3.676666666666667,0.2333333333333333,7.288571428571428,-1.6160606060606062,23,1,ALL-STAR CALIBER
aaronto01,Tommie Aaron,-0.03,23.0,-3.65,-1.2166666666666666,23.0,29.0,7.0,-1.2166666666666666,-1.2166666666666666,-1.56,0.0,3,2,BENCH/PLATOON
aasedo01,Don Aase,2.34,32.0,10.820000000000002,0.9016666666666668,23.0,36.0,14.0,1.3033333333333335,-0.2066666666666667,1.0283333333333333,-0.4633333333333334,12,6,JOURNEYMAN
abadfe01,Fernando Abad,1.63,29.0,3.8599999999999994,0.6433333333333332,27.0,32.0,6.0,0.87,0.4166666666666667,0.6199999999999999,-0.4533333333333333,6,4,BENCH/PLATOON
abbotan01,Andrew Abbott,3.46,26.0,5.109999999999999,1.7033333333333331,24.0,26.0,3.0,1.7033333333333331,1.7033333333333331,1.855,0.0,3,0,BENCH/PLATOON
abbotgl01,Glenn Abbott,1.19,29.0,3.71,0.371,23.0,33.0,11.0,0.5266666666666667,0.4966666666666666,0.33,-0.07400000000000007,10,6,JOURNEYMAN
abbotji01,Jim Abbott,5.33,24.0,15.609999999999998,1.5609999999999997,22.0,32.0,11.0,3.5666666666666664,-1.05,1.0016666666666663,-3.4019999999999997,10,3,EARLY FLAMEOUT
abbotku01,Kurt Abbott,2.03,26.0,4.8500000000000005,0.692857142857143,25.0,31.0,7.0,1.4333333333333333,0.04999999999999997,0.692857142857143,-1.2958333333333334,7,0,BENCH/PLATOON
abbotpa01,Paul Abbott,0.59,32.0,-4.12,-0.5885714285714286,23.0,37.0,15.0,-0.15999999999999995,-1.2266666666666668,0.0,-0.7500000000000001,7,2,BENCH/PLATOON
aberal01,Al Aber,1.18,27.0,1.42,0.284,26.0,30.0,5.0,0.3933333333333333,0.17333333333333334,0.284,-0.2766666666666666,5,0,BENCH/PLATOON
abernte02,Ted Abernathy,3.72,34.0,10.520000000000001,0.8092307692307693,22.0,39.0,18.0,-0.35666666666666663,0.51,0.545,0.5278571428571427,13,6,JOURNEYMAN
abnersh01,Shawn Abner,-0.59,24.0,-3.72,-0.93,23.0,26.0,4.0,-1.04,-0.8066666666666666,-0.915,0.030000000000000027,4,2,BENCH/PLATOON
abramca01,Cal Abrams,2.8,30.0,7.119999999999999,1.424,27.0,31.0,5.0,0.71,2.4766666666666666,1.424,2.6316666666666664,5,5,BENCH/PLATOON
abramcj01,CJ Abrams,4.45,25.0,11.33,2.8325,22.0,25.0,4.0,2.2933333333333334,3.9433333333333334,4.45,2.3749999999999996,4,5,BENCH/PLATOON
abreual01,Albert Abreu,-0.12,27.0,-1.07,-0.3566666666666667,26.0,28.0,3.0,-0.3566666666666667,-0.3566666666666667,-0.3566666666666667,0.0,3,2,BENCH/PLATOON
abreubo01,Bobby Abreu,8.67,30.0,74.85,4.402941176470588,23.0,40.0,18.0,3.6566666666666663,-0.05333333333333327,6.79,-2.2068055555555555,17,1,ALL-STAR CALIBER
abreubr01,Bryan Abreu,2.73,28.0,9.33,1.866,24.0,28.0,5.0,1.59,2.2600000000000002,2.2975000000000003,0.9850000000000001,5,5,BENCH/PLATOON
abreueu01,Eufemio Abreu,0.32,22.0,-2.21,-0.442,19.0,24.0,6.0,-0.48666666666666675,-0.14333333333333334,0.0,0.7466666666666668,5,2,BENCH/PLATOON
abreujo02,Jose Abreu,6.39,27.0,30.840000000000003,2.803636363636364,27.0,37.0,11.0,4.486666666666667,0.4833333333333332,4.078,-2.336333333333334,11,3,EARLY FLAMEOUT
abreuto01,Tony Abreu,-0.61,23.0,-3.05,-1.0166666666666666,23.0,29.0,7.0,-1.0166666666666666,-1.0166666666666666,-1.22,0.0,3,2,BENCH/PLATOON
accarje01,Jeremy Accardo,1.9,26.0,3.3800000000000003,0.8450000000000001,25.0,31.0,7.0,0.9966666666666667,0.6933333333333334,0.8450000000000001,-1.51,4,0,BENCH/PLATOON
aceveal01,Alfredo Aceves,1.52,29.0,2.86,0.572,26.0,31.0,6.0,0.9433333333333334,0.5166666666666666,0.572,-0.13833333333333342,5,4,BENCH/PLATOON
acevejo01,Jose Acevedo,-0.03,27.0,-0.57,-0.18999999999999997,24.0,28.0,5.0,-0.18999999999999997,-0.18999999999999997,-0.22499999999999998,0.0,3,2,BENCH/PLATOON
aceveju01,Juan Acevedo,1.62,28.0,1.6700000000000004,0.20875000000000005,25.0,33.0,9.0,0.2066666666666667,0.5066666666666667,0.048333333333333346,0.5475,8,0,BENCH/PLATOON
ackerji01,Jim Acker,3.7,31.0,7.81,0.7809999999999999,25.0,34.0,10.0,0.51,0.0166666666666667,1.1085714285714285,-0.08999999999999997,10,6,JOURNEYMAN
ackerto01,Tom Acker,1.57,28.0,1.6300000000000003,0.4075000000000001,26.0,29.0,4.0,0.7600000000000001,0.2833333333333333,0.4075000000000001,0.10500000000000004,4,4,BENCH/PLATOON
ackledu01,Dustin Ackley,1.69,23.0,3.3400000000000003,0.668,23.0,27.0,5.0,1.02,0.33,0.33,-0.845,5,0,BENCH/PLATOON
acostcy01,Cy Acosta,0.88,27.0,1.27,0.42333333333333334,26.0,28.0,3.0,0.42333333333333334,0.42333333333333334,0.42333333333333334,0.0,3,0,BENCH/PLATOON
acostma01,Manny Acosta,0.72,30.0,1.25,0.25,27.0,31.0,5.0,0.18666666666666668,0.4366666666666666,0.25,0.46666666666666656,5,4,BENCH/PLATOON
acunaro01,Ronald Acuña,10.39,26.0,33.54,4.1925,21.0,28.0,8.0,4.626666666666666,4.583333333333333,3.98,-0.4249999999999994,8,1,ALL-STAR CALIBER
adairje01,Jerry Adair,2.46,26.0,-1.3800000000000003,-0.15333333333333338,25.0,33.0,9.0,0.8099999999999999,-1.2833333333333334,0.2971428571428571,-1.2389999999999999,9,2,BENCH/PLATOON
adamewi01,Willy Adames,4.98,29.0,24.810000000000002,3.1012500000000003,23.0,30.0,8.0,1.71,3.94,3.516666666666667,1.3525000000000005,8,5,BENCH/PLATOON
adamja01,Jason Adam,2.22,33.0,6.47,1.294,27.0,34.0,8.0,0.8166666666666668,1.64,0.7750000000000001,0.8649999999999998,5,4,BENCH/PLATOON
adamsac01,Ace Adams,1.6,33.0,4.79,0.958,31.0,35.0,5.0,1.08,1.05,0.15,0.2300000000000001,5,4,BENCH/PLATOON
adamsau02,Austin Adams,0.55,28.0,1.1300000000000001,0.3766666666666667,28.0,33.0,6.0,0.3766666666666667,0.3766666666666667,0.47500000000000003,0.0,3,4,BENCH/PLATOON
adamsba01,Babe Adams,5.82,38.0,16.12,2.302857142857143,38.0,44.0,7.0,4.286666666666666,0.34,0.0,-3.4716666666666662,7,4,BENCH/PLATOON
adamsbo03,Bobby Adams,2.3,32.0,8.720000000000002,0.670769230769231,25.0,37.0,13.0,0.6233333333333334,-0.8266666666666667,0.9557142857142857,-0.25547619047619063,13,6,JOURNEYMAN
adamsbu01,Buster Adams,5.26,29.0,10.78,2.1559999999999997,28.0,32.0,5.0,3.81,1.5033333333333336,2.8125,-1.6316666666666662,5,3,EARLY FLAMEOUT
adamsem01,Emery Adams,1.12,29.0,1.9100000000000001,0.382,21.0,32.0,12.0,0.6566666666666667,0.08333333333333333,0.3966666666666667,-0.7466666666666667,5,0,BENCH/PLATOON
adamsgl01,Glenn Adams,0.5,32.0,-3.75,-0.625,28.0,34.0,7.0,-0.44,-0.8099999999999999,-0.44,-0.36999999999999994,6,2,BENCH/PLATOON
adamsma01,Matt Adams,1.85,26.0,3.95,0.5642857142857143,25.0,31.0,7.0,0.5233333333333333,0.6366666666666667,0.5642857142857143,0.07166666666666666,7,0,BENCH/PLATOON
adamsmi03,Mike Adams,2.83,33.0,10.48,1.7466666666666668,26.0,34.0,9.0,1.3166666666666667,2.1766666666666663,1.3166666666666667,0.8599999999999997,6,6,JOURNEYMAN
adamsri03,Riley Adams,-0.28,27.0,-3.54,-0.708,25.0,29.0,5.0,-0.5833333333333334,-0.6900000000000001,-0.708,0.04499999999999993,5,2,BENCH/PLATOON
adamssp01,Sparky Adams,3.85,32.0,17.869999999999997,1.4891666666666665,29.0,40.0,12.0,1.43,-0.09333333333333334,1.43,-1.1883333333333335,12,3,EARLY FLAMEOUT
adamste01,Terry Adams,4.06,28.0,13.829999999999998,1.5366666666666664,23.0,31.0,9.0,1.2933333333333332,1.4366666666666665,1.5285714285714285,0.7769999999999997,9,6,JOURNEYMAN
adcocjo01,Joe Adcock,3.86,34.0,22.52,1.3247058823529412,23.0,39.0,17.0,0.1433333333333333,0.7433333333333333,1.522857142857143,0.20722222222222197,17,6,JOURNEYMAN
adelljo01,Jo Adell,3.62,26.0,0.07000000000000028,0.014000000000000058,21.0,26.0,6.0,-1.1033333333333333,0.7333333333333334,1.69,1.7983333333333333,5,0,BENCH/PLATOON
adriaeh01,Ehire Adrianza,0.88,29.0,-2.34,-0.2925,25.0,33.0,9.0,-0.7633333333333333,-0.41,-0.19500000000000003,0.12000000000000005,8,2,BENCH/PLATOON
affelje01,Jeremy Affeldt,2.12,33.0,12.160000000000002,0.8685714285714287,23.0,36.0,14.0,1.13,0.5666666666666668,0.6485714285714286,0.23428571428571432,14,6,JOURNEYMAN
agbaybe01,Benny Agbayani,2.25,29.0,2.2600000000000002,0.5650000000000001,28.0,31.0,4.0,1.1766666666666667,0.4000000000000001,0.5650000000000001,-2.18,4,4,BENCH/PLATOON
ageeto01,Tommie Agee,5.74,28.0,20.65,2.58125,24.0,31.0,8.0,2.0933333333333333,1.1766666666666667,2.1814285714285715,-0.5274999999999994,8,3,EARLY FLAMEOUT
agostju01,Juan Agosto,1.66,31.0,7.789999999999999,0.9737499999999999,25.0,34.0,10.0,0.62,0.9900000000000001,0.9640000000000001,0.36749999999999994,8,6,JOURNEYMAN
aguaylu01,Luis Aguayo,0.86,26.0,-1.3,-0.26,26.0,30.0,5.0,0.06666666666666665,-0.38333333333333336,-0.26,-0.30833333333333335,5,2,BENCH/PLATOON
aguilje01,Jesus Aguilar,3.89,28.0,4.959999999999999,0.7085714285714284,27.0,33.0,7.0,1.5733333333333333,-0.20333333333333328,1.436,-1.5133333333333332,7,0,BENCH/PLATOON
aguilri01,Rick Aguilera,4.84,28.0,25.130000000000003,1.6753333333333336,24.0,39.0,16.0,2.0033333333333334,0.8566666666666668,2.398333333333334,-1.3105357142857146,15,3,EARLY FLAMEOUT
aguirha01,Hank Aguirre,3.52,31.0,12.21,1.0175,25.0,38.0,14.0,0.7666666666666666,0.7199999999999999,1.046,-0.31833333333333336,12,6,JOURNEYMAN
ahmedni01,Nick Ahmed,4.01,29.0,6.02,0.6688888888888889,25.0,34.0,10.0,-0.26666666666666666,-0.42333333333333334,1.1099999999999999,0.26349999999999985,9,6,JOURNEYMAN
aikenwi01,Willie Aikens,2.66,29.0,7.2700000000000005,1.0385714285714287,23.0,30.0,8.0,0.82,0.9833333333333334,1.5383333333333333,0.3825000000000002,7,6,JOURNEYMAN
aingeda01,Danny Ainge,-1.06,22.0,-3.7600000000000002,-1.2533333333333334,20.0,22.0,3.0,-1.2533333333333334,-1.2533333333333334,0.0,0.0,3,2,BENCH/PLATOON
ainsmed01,Eddie Ainsmith,2.95,32.0,2.9000000000000004,0.7250000000000001,30.0,33.0,4.0,0.9400000000000001,1.0666666666666667,-0.06499999999999999,1.58,4,4,BENCH/PLATOON
akerfda01,Darrel Akerfelds,-0.21,29.0,-2.96,-0.9866666666666667,25.0,29.0,5.0,-0.9866666666666667,-0.9866666666666667,-0.9866666666666667,0.0,3,2,BENCH/PLATOON
akerja01,Jack Aker,2.87,26.0,7.74,0.774,25.0,34.0,10.0,1.5066666666666666,0.25333333333333335,0.9971428571428571,-0.6279999999999998,10,0,BENCH/PLATOON
akinke01,Keegan Akin,2.36,29.0,4.18,1.045,26.0,30.0,5.0,1.3533333333333333,1.4066666666666665,1.045,0.39,4,4,BENCH/PLATOON
