playerID,name,seasons,first_year,last_year,total_games,actual_W,actual_L,pyth_expected,pyth_residual_total,mgr_value_total,mgr_value_per_season,winpct,expected_winpct
actama99,Manny Acta,5,2007,2012,809,349,460,340.9715916649241,8.028408335075888,1.9254667028050747,0.38509334056101496,0.43139678615574784,0.4214729192397084
aloufe01,Felipe Alou,13,1992,2006,2039,1029,1009,1010.1537258961639,18.846274103836066,2.027175564185626,0.15593658186043277,0.5049067713444554,0.4954162461481922
alstowa01,Walter Alston,7,1970,1976,1126,638,487,646.7792243782532,-8.779224378253147,5.19613136610873,0.7423044808726758,0.5671111111111111,0.5744042845277559
altobjo01,Joe Altobelli,5,1977,1984,810,418,392,411.4926935565687,6.507306443431261,3.35683916685808,0.671367833371616,0.5160493827160494,0.5080156710574922
andersp01,Sparky Anderson,26,1970,1995,4084,2223,1860,2201.583118389899,21.41688161010117,10.121808786338278,0.3893003379360876,0.544452608376194,0.5390752003892995
ausmubr01,Brad Ausmus,5,2014,2019,808,386,422,377.6658163358782,8.334183664121795,3.421392799415756,0.6842785598831511,0.4777227722772277,0.4674081885345027
bakerdu01,Dusty Baker,25,1993,2023,3986,2154,1831,2152.0013472296055,1.9986527703945711,7.138141988987215,0.2855256795594886,0.5405269761606023,0.5398899516381348
baldero01,Rocco Baldelli,6,2019,2025,972,491,481,496.653178522673,-5.653178522672988,-5.712346295204497,-0.9520577158674163,0.5051440329218106,0.5109600602085113
bambege01,George Bamberger,5,1978,1986,807,401,406,396.5763819321937,4.423618067806245,-0.9440794095344529,-0.18881588190689058,0.4969021065675341,0.4914205476235362
baylodo01,Don Baylor,8,1993,2001,1233,593,640,586.8395120994647,6.16048790053523,-9.715497841080065,-1.2144372301350082,0.48094079480940793,0.47594445425747345
bellbu01,Buddy Bell,8,1996,2007,1296,539,757,570.5640520618475,-31.56405206184754,-7.143430368713233,-0.8929287960891541,0.4158950617283951,0.44025004017117864
bellda01,David Bell,5,2019,2024,810,379,431,386.71514759513025,-7.715147595130247,-10.56161026211862,-2.112322052423724,0.4679012345679012,0.4774261081421361
berrayo01,Yogi Berra,5,1972,1984,803,405,398,399.11883651800474,5.881163481995287,-5.38858216591197,-1.077716433182394,0.5043586550435866,0.4970346656513135
blackbu02,Buddy Black,15,2007,2024,2431,1128,1303,1117.81311340182,10.186886598180159,3.342090722928866,0.22280604819525773,0.4640065816536405,0.45981617169963795
bochybr01,Bruce Bochy,28,1995,2025,4518,2252,2266,2241.586484139201,10.413515860798995,-10.161987972792943,-0.36292814188546224,0.4984506418769367,0.4961457468214256
booneaa01,Aaron Boone,7,2018,2025,1134,664,470,659.7047174675071,4.295282532492948,-0.4306326387130497,-0.06151894838757853,0.5855379188712522,0.5817501917702884
boonebo01,Bob Boone,5,1995,2003,791,358,433,350.47303180676016,7.526968193239831,8.760578704065942,1.7521157408131884,0.4525916561314791,0.44307589356101157
bowala01,Larry Bowa,5,1987,2004,809,403,406,410.7107223756499,-7.710722375649908,-0.006826240558126528,-0.0013652481116253057,0.49814585908529047,0.5076770363110629
