"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Semien, Marcus",543760,2021,724,509,0.265,0.243,0.022,0.538,0.464,0.074,0.368,0.336,0.0319999999999999
"Merrifield, Whit",593160,2021,720,573,0.277,0.26,0.017,0.395,0.391,0.004,0.306,0.304,0.002
"Guerrero Jr., Vladimir",665489,2021,698,496,0.311,0.306,0.005,0.601,0.607,-0.006,0.419,0.422,-0.003
"Freeman, Freddie",518692,2021,695,495,0.3,0.309,-0.009,0.503,0.577,-0.0739999999999999,0.379,0.41,-0.0309999999999999
"Haniger, Mitch",571745,2021,691,459,0.253,0.252,0.001,0.485,0.491,-0.006,0.34,0.348,-0.0079999999999999
"Edman, Tommy",669242,2021,691,552,0.262,0.272,-0.01,0.387,0.406,-0.019,0.301,0.318,-0.017
"Bichette, Bo",666182,2021,690,507,0.298,0.281,0.0169999999999999,0.484,0.485,-0.001,0.354,0.349,0.005
"Crawford, J.P.",641487,2021,687,510,0.273,0.256,0.017,0.376,0.343,0.0329999999999999,0.314,0.3,0.014
"Albies, Ozzie",645277,2021,686,508,0.259,0.25,0.009,0.488,0.461,0.0269999999999999,0.336,0.327,0.009
"LeMahieu, DJ",518934,2021,679,508,0.268,0.28,-0.012,0.362,0.406,-0.044,0.315,0.342,-0.027
"Goldschmidt, Paul",502671,2021,679,472,0.294,0.287,0.007,0.514,0.579,-0.0649999999999999,0.373,0.396,-0.023
"Altuve, Jose",514888,2021,678,517,0.278,0.258,0.02,0.489,0.427,0.062,0.357,0.333,0.0239999999999999
"Kiner-Falefa, Isiah",643396,2021,677,548,0.271,0.265,0.006,0.357,0.351,0.006,0.293,0.292,0.001
"Mullins, Cedric",656775,2021,675,482,0.291,0.268,0.0229999999999999,0.518,0.445,0.073,0.372,0.342,0.0299999999999999
"Schoop, Jonathan",570731,2021,674,498,0.278,0.253,0.025,0.435,0.404,0.0309999999999999,0.324,0.311,0.013
"Olson, Matt",621566,2021,673,463,0.271,0.258,0.013,0.54,0.513,0.027,0.379,0.378,0.001
"Grossman, Robbie",543257,2021,671,410,0.239,0.232,0.0069999999999999,0.415,0.404,0.0109999999999999,0.337,0.335,0.002
"Seager, Kyle",572122,2021,670,446,0.212,0.216,-0.004,0.438,0.459,-0.021,0.308,0.32,-0.012
"Perez, Salvador",521692,2021,665,454,0.273,0.269,0.004,0.544,0.562,-0.018,0.359,0.369,-0.01
"Fletcher, David",664058,2021,665,573,0.262,0.273,-0.011,0.324,0.323,0.001,0.273,0.283,-0.0099999999999999
"Devers, Rafael",646240,2021,664,452,0.279,0.285,-0.0059999999999999,0.538,0.565,-0.0269999999999999,0.373,0.391,-0.018
"Riley, Austin",663586,2021,662,430,0.303,0.275,0.0279999999999999,0.531,0.514,0.017,0.379,0.365,0.014
"Santana, Carlos",467793,2021,659,468,0.214,0.238,-0.0239999999999999,0.342,0.422,-0.0799999999999999,0.294,0.333,-0.039
"Abreu, José",547989,2021,659,433,0.261,0.247,0.014,0.481,0.458,0.0229999999999999,0.354,0.347,0.007
"Soto, Juan",665742,2021,654,414,0.313,0.299,0.014,0.534,0.547,-0.013,0.42,0.429,-0.009
"Swanson, Dansby",621020,2021,653,429,0.248,0.244,0.004,0.449,0.453,-0.004,0.322,0.329,-0.007
"Arenado, Nolan",571448,2021,653,504,0.255,0.245,0.01,0.494,0.428,0.066,0.336,0.313,0.023
"France, Ty",664034,2021,650,471,0.291,0.265,0.0259999999999999,0.445,0.436,0.009,0.353,0.346,0.007
"Reynolds, Bryan",668804,2021,646,444,0.302,0.288,0.014,0.522,0.525,-0.003,0.385,0.385,0.0
"Turner, Trea",607208,2021,646,489,0.328,0.3,0.028,0.536,0.485,0.051,0.386,0.363,0.023
"Polanco, Jorge",593871,2021,644,476,0.269,0.261,0.008,0.503,0.489,0.014,0.349,0.346,0.003
"Cronenworth, Jake",630105,2021,643,483,0.266,0.271,-0.005,0.46,0.449,0.011,0.341,0.344,-0.0029999999999999
"Lowe, Nathaniel",663993,2021,642,398,0.264,0.231,0.033,0.415,0.403,0.0119999999999999,0.337,0.323,0.014
"Correa, Carlos",621043,2021,640,445,0.279,0.286,-0.0069999999999999,0.485,0.484,0.001,0.364,0.37,-0.006
"Machado, Manny",592518,2021,640,473,0.278,0.286,-0.0079999999999999,0.489,0.531,-0.042,0.35,0.377,-0.027
"Frazier, Adam",624428,2021,639,512,0.305,0.286,0.019,0.411,0.377,0.0339999999999999,0.341,0.325,0.016
"Ohtani, Shohei",660271,2021,639,350,0.257,0.262,-0.005,0.592,0.622,-0.03,0.393,0.41,-0.0169999999999999
"Straw, Myles",664702,2021,638,448,0.271,0.256,0.015,0.348,0.336,0.0119999999999999,0.311,0.305,0.006
"Alonso, Pete",624413,2021,637,438,0.262,0.264,-0.002,0.519,0.547,-0.028,0.363,0.376,-0.013
"Hernández, César",514917,2021,637,438,0.232,0.239,-0.0069999999999999,0.386,0.388,-0.002,0.302,0.311,-0.009
"Ramírez, José",608070,2021,636,470,0.266,0.278,-0.012,0.538,0.514,0.024,0.372,0.376,-0.004
"Martinez, J.D.",502110,2021,634,425,0.286,0.28,0.0059999999999999,0.518,0.536,-0.018,0.364,0.372,-0.008
"Judge, Aaron",592450,2021,633,397,0.287,0.302,-0.015,0.544,0.601,-0.0569999999999999,0.387,0.418,-0.0309999999999999
"India, Jonathan",663697,2021,631,396,0.269,0.25,0.019,0.459,0.441,0.018,0.363,0.352,0.011
"Candelario, Jeimer",600869,2021,626,422,0.271,0.273,-0.002,0.443,0.464,-0.021,0.344,0.355,-0.011
"Canha, Mark",592192,2021,625,393,0.231,0.227,0.004,0.387,0.381,0.006,0.333,0.332,0.001
"Chapman, Matt",656305,2021,622,336,0.21,0.204,0.006,0.403,0.421,-0.0179999999999999,0.311,0.318,-0.007
"García, Adolis",666969,2021,622,391,0.243,0.216,0.0269999999999999,0.454,0.42,0.034,0.314,0.296,0.018
"Carlson, Dylan",666185,2021,619,399,0.266,0.242,0.024,0.437,0.404,0.0329999999999999,0.336,0.32,0.016
"Mancini, Trey",641820,2021,616,414,0.255,0.261,-0.006,0.432,0.455,-0.023,0.326,0.34,-0.014
"Gallo, Joey",608336,2021,616,286,0.199,0.195,0.004,0.458,0.461,-0.003,0.348,0.351,-0.003
"Moncada, Yoán",660162,2021,616,365,0.263,0.256,0.007,0.412,0.428,-0.016,0.347,0.352,-0.005
"Lowe, Brandon",664040,2021,615,371,0.247,0.241,0.006,0.523,0.498,0.025,0.363,0.355,0.008
"Turner, Justin",457759,2021,612,441,0.278,0.266,0.012,0.471,0.477,-0.006,0.358,0.361,-0.003
"Gurriel, Yuli",493329,2021,605,474,0.319,0.268,0.0509999999999999,0.462,0.389,0.073,0.363,0.326,0.0369999999999999
"Arozarena, Randy",668227,2021,604,364,0.274,0.213,0.061,0.459,0.364,0.095,0.35,0.298,0.0519999999999999
