"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Duran, Jarren",680776,2024,735,515,0.285,0.267,0.0179999999999999,0.492,0.456,0.0359999999999999,0.357,0.34,0.0169999999999999
"Ohtani, Shohei",660271,2024,731,479,0.31,0.31,0.0,0.646,0.672,-0.026,0.431,0.444,-0.013
"Henderson, Gunnar",683002,2024,719,475,0.281,0.279,0.002,0.529,0.499,0.03,0.381,0.375,0.006
"Semien, Marcus",543760,2024,718,546,0.237,0.251,-0.014,0.391,0.406,-0.015,0.306,0.32,-0.014
"Soto, Juan",665742,2024,713,461,0.288,0.31,-0.022,0.569,0.655,-0.086,0.421,0.463,-0.042
"Witt Jr., Bobby",677951,2024,709,538,0.332,0.309,0.023,0.588,0.583,0.005,0.41,0.407,0.003
"Judge, Aaron",592450,2024,704,390,0.322,0.304,0.018,0.701,0.739,-0.038,0.476,0.48,-0.004
"Guerrero Jr., Vladimir",665489,2024,697,524,0.323,0.316,0.007,0.544,0.578,-0.0339999999999999,0.398,0.412,-0.0139999999999999
"De La Cruz, Elly",682829,2024,696,403,0.259,0.237,0.022,0.471,0.437,0.0339999999999999,0.349,0.33,0.0189999999999999
"Alonso, Pete",624413,2024,695,440,0.24,0.239,0.001,0.459,0.47,-0.0109999999999999,0.34,0.345,-0.0049999999999999
"Tovar, Ezequiel",678662,2024,695,467,0.269,0.231,0.038,0.469,0.41,0.059,0.324,0.291,0.033
"Reynolds, Bryan",668804,2024,692,469,0.275,0.268,0.007,0.447,0.472,-0.0249999999999999,0.343,0.353,-0.0099999999999999
"Schwarber, Kyle",656941,2024,692,384,0.248,0.252,-0.004,0.485,0.522,-0.037,0.366,0.382,-0.016
"Lindor, Francisco",596019,2024,689,494,0.273,0.278,-0.005,0.5,0.539,-0.039,0.363,0.381,-0.018
"Volpe, Anthony",683011,2024,689,486,0.243,0.232,0.0109999999999999,0.364,0.335,0.0289999999999999,0.287,0.278,0.0089999999999999
"Adames, Willy",642715,2024,688,440,0.251,0.24,0.011,0.462,0.468,-0.006,0.342,0.341,0.001
"Ozuna, Marcell",542303,2024,688,440,0.302,0.283,0.019,0.546,0.583,-0.0369999999999999,0.395,0.404,-0.009
"Olson, Matt",621566,2024,685,435,0.247,0.242,0.005,0.457,0.454,0.003,0.339,0.342,-0.003
"Carroll, Corbin",682998,2024,684,471,0.231,0.239,-0.0079999999999999,0.428,0.401,0.0269999999999999,0.325,0.328,-0.003
"Ramírez, José",608070,2024,682,544,0.279,0.256,0.023,0.537,0.467,0.07,0.364,0.333,0.0309999999999999
"Altuve, Jose",514888,2024,682,509,0.295,0.261,0.0339999999999999,0.439,0.406,0.0329999999999999,0.344,0.319,0.0249999999999999
"Contreras, William",661388,2024,679,459,0.281,0.265,0.016,0.466,0.476,-0.0099999999999999,0.359,0.359,0.0
"Arraez, Luis",650333,2024,672,611,0.314,0.31,0.004,0.392,0.408,-0.0159999999999999,0.323,0.33,-0.007
"Profar, Jurickson",595777,2024,668,473,0.28,0.279,0.001,0.459,0.451,0.008,0.365,0.366,-0.001
"Santander, Anthony",623993,2024,665,471,0.235,0.225,0.0099999999999999,0.506,0.458,0.0479999999999999,0.345,0.327,0.0179999999999999
"Torres, Gleyber",650402,2024,665,461,0.257,0.24,0.017,0.378,0.386,-0.008,0.313,0.314,-0.001
"Ward, Taylor",621493,2024,663,430,0.246,0.246,0.0,0.426,0.466,-0.04,0.325,0.345,-0.0199999999999999
"Nimmo, Brandon",607043,2024,663,416,0.224,0.241,-0.0169999999999999,0.399,0.417,-0.0179999999999999,0.321,0.338,-0.017
"Castellanos, Nick",592206,2024,659,469,0.254,0.268,-0.014,0.431,0.454,-0.023,0.321,0.337,-0.016
"Happ, Ian",664023,2024,657,403,0.243,0.24,0.003,0.441,0.453,-0.012,0.341,0.347,-0.0059999999999999
"Cronenworth, Jake",630105,2024,656,463,0.241,0.257,-0.016,0.39,0.431,-0.0409999999999999,0.315,0.339,-0.024
"Steer, Spencer",668715,2024,656,439,0.225,0.234,-0.009,0.402,0.392,0.01,0.316,0.321,-0.005
