"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
"Mikolas, Miles",571945,2023,860,674,0.282,0.286,-0.004,0.454,0.506,-0.0519999999999999,0.33,0.355,-0.0249999999999999,4.78,5.48,-0.697
"Webb, Logan",657277,2023,850,619,0.248,0.251,-0.003,0.374,0.397,-0.023,0.283,0.296,-0.013,3.25,3.66,-0.41
"Gallen, Zac",668678,2023,846,574,0.238,0.25,-0.012,0.382,0.435,-0.0529999999999999,0.289,0.315,-0.026,3.47,4.18,-0.709
"Bassitt, Chris",605135,2023,826,569,0.235,0.238,-0.003,0.403,0.409,-0.0059999999999999,0.304,0.31,-0.006,3.6,4.04,-0.44
"Keller, Mitch",656605,2023,825,548,0.249,0.248,0.001,0.404,0.406,-0.002,0.31,0.315,-0.005,4.21,4.18,0.034
"Cole, Gerrit",543037,2023,821,543,0.206,0.229,-0.023,0.322,0.38,-0.0579999999999999,0.256,0.288,-0.0319999999999999,2.63,3.45,-0.823
"Valdez, Framber",664285,2023,808,540,0.228,0.248,-0.0199999999999999,0.365,0.411,-0.0459999999999999,0.287,0.319,-0.032,3.46,4.3,-0.845
"Lynn, Lance",458681,2023,808,540,0.259,0.247,0.012,0.484,0.461,0.0229999999999999,0.347,0.336,0.0109999999999999,5.73,4.83,0.903
"Gibson, Kyle",502043,2023,807,589,0.27,0.264,0.006,0.437,0.445,-0.008,0.326,0.333,-0.007,4.73,4.73,0.004
"Castillo, Luis",622491,2023,802,522,0.218,0.226,-0.008,0.395,0.414,-0.0189999999999999,0.289,0.302,-0.013,3.33,3.82,-0.485
"López, Pablo",641154,2023,801,509,0.238,0.213,0.0249999999999999,0.385,0.343,0.0419999999999999,0.294,0.27,0.0239999999999999,3.67,3.02,0.645
"Giolito, Lucas",608337,2023,794,507,0.24,0.236,0.004,0.482,0.449,0.0329999999999999,0.339,0.329,0.01,4.88,4.61,0.272
"Nola, Aaron",605400,2023,793,545,0.24,0.235,0.005,0.425,0.408,0.017,0.303,0.297,0.006,4.46,3.69,0.771
"Corbin, Patrick",571578,2023,790,605,0.293,0.298,-0.005,0.481,0.52,-0.039,0.353,0.373,-0.02,5.2,6.16,-0.96
"Wheeler, Zack",554430,2023,787,527,0.229,0.227,0.002,0.364,0.356,0.008,0.277,0.278,-0.001,3.61,3.21,0.399
"Burnes, Corbin",669203,2023,784,510,0.2,0.221,-0.0209999999999999,0.324,0.347,-0.0229999999999999,0.266,0.287,-0.0209999999999999,3.39,3.43,-0.038
"Cease, Dylan",656302,2023,784,481,0.25,0.239,0.011,0.405,0.386,0.019,0.321,0.314,0.007,4.58,4.16,0.416
"Berríos, José",621244,2023,782,537,0.241,0.257,-0.016,0.397,0.441,-0.0439999999999999,0.302,0.327,-0.025,3.65,4.55,-0.896
"Oviedo, Johan",670912,2023,781,525,0.237,0.245,-0.008,0.397,0.407,-0.0099999999999999,0.319,0.33,-0.011,4.31,4.64,-0.334
"Montgomery, Jordan",656756,2023,777,559,0.247,0.249,-0.002,0.393,0.41,-0.0169999999999999,0.298,0.308,-0.01,3.2,3.98,-0.784
"Gilbert, Logan",669302,2023,770,543,0.233,0.238,-0.0049999999999999,0.409,0.411,-0.002,0.29,0.295,-0.005,3.73,3.63,0.099
"Strider, Spencer",675911,2023,763,415,0.21,0.202,0.0079999999999999,0.355,0.347,0.008,0.279,0.273,0.006,3.86,3.09,0.767
"Gausman, Kevin",592332,2023,763,466,0.233,0.231,0.002,0.379,0.406,-0.027,0.292,0.303,-0.011,3.16,3.85,-0.688
"Alcantara, Sandy",645261,2023,762,557,0.251,0.26,-0.009,0.391,0.418,-0.0269999999999999,0.301,0.319,-0.018,4.14,4.3,-0.157
"Kirby, George",669923,2023,757,560,0.246,0.258,-0.012,0.395,0.427,-0.0319999999999999,0.284,0.305,-0.021,3.35,3.9,-0.549
"Gray, Sonny",543243,2023,754,510,0.226,0.24,-0.0139999999999999,0.319,0.372,-0.0529999999999999,0.27,0.298,-0.0279999999999999,2.79,3.71,-0.922
"Lyles, Jordan",543475,2023,748,575,0.255,0.26,-0.005,0.501,0.483,0.018,0.34,0.339,0.001,6.28,4.93,1.351
"Snell, Blake",605483,2023,742,405,0.181,0.205,-0.0239999999999999,0.286,0.352,-0.066,0.266,0.301,-0.0349999999999999,2.25,3.79,-1.54
"Luzardo, Jesús",666200,2023,741,472,0.239,0.23,0.0089999999999999,0.409,0.416,-0.007,0.307,0.307,0.0,3.58,3.96,-0.384
"Kremer, Dean",665152,2023,735,518,0.254,0.264,-0.01,0.416,0.458,-0.042,0.317,0.338,-0.021,4.12,4.9,-0.782
"Sears, JP",676664,2023,735,505,0.249,0.243,0.006,0.465,0.457,0.008,0.335,0.332,0.003,4.54,4.7,-0.156
"Walker, Taijuan",592836,2023,733,516,0.238,0.245,-0.007,0.397,0.41,-0.0129999999999999,0.313,0.323,-0.01,4.38,4.42,-0.042
"Elder, Bryce",693821,2023,732,532,0.245,0.258,-0.013,0.39,0.415,-0.0249999999999999,0.309,0.327,-0.018,3.81,4.55,-0.737
"Dunning, Dane",641540,2023,722,517,0.25,0.258,-0.008,0.393,0.418,-0.0249999999999999,0.31,0.325,-0.015,3.7,4.48,-0.779
"Kelly, Merrill",518876,2023,721,462,0.222,0.241,-0.0189999999999999,0.371,0.394,-0.023,0.294,0.313,-0.019,3.29,4.13,-0.837
"Steele, Justin",657006,2023,716,497,0.251,0.247,0.004,0.371,0.368,0.003,0.291,0.291,0.0,3.06,3.53,-0.467
"Morton, Charlie",450203,2023,716,437,0.244,0.244,0.0,0.371,0.403,-0.032,0.318,0.33,-0.012,3.64,4.64,-1.003
"Eflin, Zach",621107,2023,703,490,0.235,0.218,0.0169999999999999,0.379,0.382,-0.003,0.276,0.271,0.005,3.5,3.04,0.455
"Singer, Brady",663903,2023,702,512,0.287,0.271,0.0159999999999999,0.467,0.455,0.012,0.346,0.339,0.0069999999999999,5.52,4.93,0.594
"Kikuchi, Yusei",579328,2023,700,467,0.255,0.245,0.01,0.426,0.436,-0.01,0.319,0.318,0.001,3.87,4.27,-0.405
"Gray, Josiah",680686,2023,698,466,0.251,0.251,0.0,0.412,0.436,-0.024,0.332,0.342,-0.01,3.91,5.03,-1.124
"Schmidt, Clarke",657376,2023,694,488,0.268,0.252,0.016,0.451,0.42,0.031,0.334,0.32,0.014,4.64,4.33,0.312
"Senga, Kodai",673540,2023,694,409,0.208,0.222,-0.014,0.327,0.369,-0.0419999999999999,0.282,0.305,-0.023,2.98,3.9,-0.924
"Javier, Cristian",664299,2023,687,459,0.234,0.228,0.006,0.424,0.451,-0.027,0.317,0.325,-0.008,4.56,4.48,0.076
"Peralta, Freddy",642547,2023,680,409,0.212,0.211,0.001,0.387,0.364,0.023,0.291,0.284,0.007,3.86,3.35,0.507
"Freeland, Kyle",607536,2023,677,540,0.3,0.29,0.01,0.506,0.52,-0.014,0.36,0.364,-0.004,5.03,5.81,-0.78
"Ryan, Joe",657746,2023,672,435,0.248,0.22,0.0279999999999999,0.452,0.409,0.043,0.316,0.292,0.024,4.51,3.55,0.959
"Bradish, Kyle",680694,2023,671,450,0.215,0.235,-0.0199999999999999,0.33,0.391,-0.061,0.268,0.3,-0.0319999999999999,2.83,3.77,-0.942
"Verlander, Justin",434378,2023,669,475,0.226,0.225,0.001,0.369,0.394,-0.025,0.284,0.295,-0.011,3.22,3.63,-0.414
"Bello, Brayan",678394,2023,668,485,0.27,0.25,0.02,0.453,0.415,0.038,0.334,0.316,0.018,4.24,4.21,0.032
"Brown, Hunter",686613,2023,665,423,0.262,0.235,0.027,0.456,0.416,0.04,0.34,0.318,0.022,5.09,4.27,0.818
"Hill, Rich",448179,2023,660,464,0.281,0.275,0.006,0.487,0.479,0.008,0.359,0.357,0.002,5.41,5.55,-0.138
"Garrett, Braxton",666129,2023,659,463,0.25,0.271,-0.021,0.42,0.444,-0.024,0.307,0.328,-0.021,3.66,4.58,-0.916
"Williams, Trevor",592866,2023,658,490,0.3,0.275,0.0249999999999999,0.533,0.502,0.031,0.377,0.358,0.019,5.55,5.59,-0.04
"Gray, Jon",592351,2023,656,451,0.256,0.256,0.0,0.4,0.419,-0.0189999999999999,0.317,0.325,-0.008,4.12,4.48,-0.361
"Taillon, Jameson",592791,2023,655,469,0.258,0.255,0.003,0.442,0.467,-0.025,0.322,0.333,-0.011,4.84,4.73,0.11
"Sandoval, Patrick",663776,2023,652,445,0.256,0.256,0.0,0.374,0.403,-0.029,0.318,0.331,-0.013,4.11,4.67,-0.564
"Flaherty, Jack",656427,2023,650,423,0.287,0.267,0.0199999999999999,0.45,0.422,0.028,0.356,0.343,0.0129999999999999,4.99,5.06,-0.072
"Cobb, Alex",502171,2023,646,472,0.272,0.273,-0.001,0.435,0.446,-0.011,0.325,0.333,-0.008,3.87,4.73,-0.864
"Detmers, Reid",672282,2023,644,403,0.248,0.25,-0.002,0.401,0.401,0.0,0.321,0.328,-0.007,4.48,4.58,-0.1
"Heaney, Andrew",571760,2023,641,420,0.251,0.234,0.0169999999999999,0.439,0.432,0.007,0.335,0.327,0.008,4.15,4.55,-0.396
"Waldichuk, Ken",686610,2023,639,426,0.271,0.239,0.032,0.48,0.423,0.0569999999999999,0.361,0.332,0.0289999999999999,5.36,4.7,0.662
"Anderson, Tyler",542881,2023,629,439,0.266,0.255,0.011,0.455,0.435,0.02,0.345,0.339,0.0059999999999999,5.43,4.93,0.496
"Smyly, Drew",592767,2023,626,423,0.265,0.237,0.028,0.478,0.404,0.0739999999999999,0.348,0.313,0.0349999999999999,5.0,4.13,0.865
"Lorenzen, Michael",547179,2023,624,463,0.243,0.253,-0.01,0.399,0.443,-0.0439999999999999,0.304,0.325,-0.021,4.18,4.48,-0.304
