"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
"Webb, Logan",657277,2025,856,579,0.264,0.246,0.018,0.386,0.385,0.001,0.303,0.295,0.008,3.22,3.58,-0.363
"Crochet, Garrett",676979,2025,814,509,0.217,0.21,0.007,0.353,0.347,0.006,0.27,0.266,0.004,2.59,2.89,-0.304
"Gallen, Zac",668678,2025,813,568,0.239,0.242,-0.003,0.426,0.434,-0.008,0.315,0.32,-0.005,4.83,4.27,0.558
"Sánchez, Cristopher",650911,2025,807,545,0.227,0.225,0.002,0.321,0.345,-0.0239999999999999,0.264,0.272,-0.008,2.5,3.02,-0.525
"Valdez, Framber",664285,2025,802,540,0.238,0.241,-0.003,0.358,0.37,-0.012,0.295,0.303,-0.008,3.66,3.79,-0.134
"Fried, Max",608331,2025,801,551,0.223,0.233,-0.01,0.334,0.358,-0.0239999999999999,0.272,0.287,-0.0149999999999999,2.86,3.38,-0.523
"Rodón, Carlos",607074,2025,789,504,0.188,0.206,-0.0179999999999999,0.321,0.351,-0.0299999999999999,0.266,0.286,-0.0199999999999999,3.09,3.36,-0.273
"Irvin, Jake",663623,2025,787,595,0.272,0.273,-0.001,0.492,0.506,-0.014,0.355,0.36,-0.005,5.7,5.59,0.11
"Gausman, Kevin",592332,2025,775,531,0.216,0.238,-0.0219999999999999,0.358,0.407,-0.0489999999999999,0.273,0.301,-0.0279999999999999,3.59,3.74,-0.149
"Kikuchi, Yusei",579328,2025,772,521,0.261,0.25,0.011,0.419,0.428,-0.009,0.327,0.327,0.0,3.99,4.48,-0.493
"Pfaadt, Brandon",694297,2025,767,570,0.279,0.285,-0.0059999999999999,0.469,0.494,-0.025,0.339,0.352,-0.0129999999999999,5.25,5.3,-0.053
"Bibee, Tanner",676440,2025,762,536,0.246,0.227,0.0189999999999999,0.412,0.385,0.0269999999999999,0.313,0.297,0.016,4.25,3.64,0.605
"Littell, Zack",641793,2025,759,587,0.244,0.255,-0.011,0.445,0.459,-0.014,0.311,0.323,-0.012,3.81,4.36,-0.551
"Luzardo, Jesús",666200,2025,758,482,0.24,0.228,0.0119999999999999,0.356,0.355,0.001,0.29,0.285,0.005,3.92,3.33,0.59
"Ray, Robbie",592662,2025,755,492,0.221,0.219,0.002,0.383,0.385,-0.002,0.299,0.3,-0.001,3.65,3.71,-0.057
"Gray, Sonny",543243,2025,753,508,0.262,0.25,0.012,0.424,0.417,0.007,0.314,0.306,0.008,4.28,3.88,0.404
"Keller, Mitch",656605,2025,749,537,0.249,0.259,-0.01,0.405,0.43,-0.0249999999999999,0.313,0.326,-0.013,4.18,4.45,-0.265
"Skubal, Tarik",669373,2025,748,469,0.2,0.206,-0.0059999999999999,0.319,0.344,-0.0249999999999999,0.245,0.258,-0.013,2.21,2.71,-0.498
"Kelly, Merrill",518876,2025,748,531,0.226,0.25,-0.0239999999999999,0.384,0.431,-0.0469999999999999,0.288,0.316,-0.028,3.52,4.16,-0.638
"Castillo, Luis",622491,2025,745,530,0.244,0.245,-0.001,0.402,0.418,-0.0159999999999999,0.304,0.312,-0.008,3.54,4.04,-0.503
"Alcantara, Sandy",645261,2025,745,536,0.247,0.262,-0.015,0.404,0.437,-0.0329999999999999,0.311,0.332,-0.021,5.36,4.64,0.719
