"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Semien, Marcus",543760,2019,747,556,0.285,0.272,0.0129999999999999,0.522,0.495,0.027,0.373,0.363,0.01
"Merrifield, Whit",593160,2019,735,559,0.302,0.281,0.0209999999999999,0.463,0.434,0.029,0.34,0.325,0.015
"Acuña Jr., Ronald",660670,2019,715,439,0.28,0.279,0.001,0.518,0.574,-0.0559999999999999,0.369,0.39,-0.021
"Villar, Jonathan",542340,2019,714,472,0.274,0.246,0.028,0.453,0.412,0.041,0.335,0.315,0.02
"Betts, Mookie",605141,2019,706,505,0.295,0.311,-0.016,0.524,0.577,-0.0529999999999999,0.38,0.411,-0.0309999999999999
"Hoskins, Rhys",656555,2019,705,403,0.226,0.215,0.011,0.454,0.417,0.037,0.347,0.337,0.0099999999999999
"Polanco, Jorge",593871,2019,704,524,0.295,0.271,0.0239999999999999,0.485,0.464,0.0209999999999999,0.352,0.341,0.0109999999999999
"Albies, Ozzie",645277,2019,702,532,0.295,0.282,0.013,0.5,0.482,0.018,0.354,0.346,0.008
"Devers, Rafael",646240,2019,702,531,0.311,0.298,0.013,0.555,0.526,0.029,0.377,0.367,0.01
"Escobar, Eduardo",500871,2019,699,516,0.269,0.254,0.015,0.511,0.464,0.0469999999999999,0.341,0.326,0.015
"Bogaerts, Xander",593428,2019,698,498,0.309,0.274,0.0349999999999999,0.555,0.477,0.078,0.39,0.356,0.034
"Alonso, Pete",624413,2019,693,417,0.26,0.257,0.003,0.583,0.551,0.0319999999999999,0.384,0.38,0.004
"Abreu, José",547989,2019,693,492,0.284,0.279,0.0049999999999999,0.503,0.517,-0.014,0.344,0.358,-0.014
"Freeman, Freddie",518692,2019,692,472,0.295,0.291,0.004,0.549,0.565,-0.0159999999999999,0.387,0.394,-0.007
"Bregman, Alex",608324,2019,690,479,0.296,0.263,0.0329999999999999,0.592,0.453,0.1389999999999999,0.418,0.373,0.0449999999999999
"Santana, Carlos",467793,2019,686,467,0.281,0.266,0.015,0.515,0.48,0.035,0.38,0.367,0.013
"Harper, Bryce",547180,2019,682,399,0.26,0.273,-0.013,0.51,0.547,-0.037,0.365,0.387,-0.022
"Goldschmidt, Paul",502671,2019,682,434,0.26,0.257,0.003,0.476,0.509,-0.033,0.346,0.359,-0.013
"Soler, Jorge",624585,2019,679,415,0.265,0.276,-0.011,0.569,0.595,-0.026,0.378,0.396,-0.018
"Mancini, Trey",641820,2019,679,464,0.291,0.277,0.0139999999999999,0.535,0.503,0.032,0.373,0.362,0.011
"Castro, Starlin",516770,2019,676,534,0.27,0.268,0.002,0.436,0.435,0.001,0.307,0.314,-0.007
"Chapman, Matt",656305,2019,670,439,0.249,0.251,-0.002,0.506,0.502,0.004,0.354,0.359,-0.005
"Hosmer, Eric",543333,2019,667,461,0.265,0.249,0.016,0.425,0.411,0.014,0.309,0.304,0.005
"Hernández, César",514917,2019,667,516,0.279,0.264,0.015,0.408,0.375,0.0329999999999999,0.315,0.302,0.013
"DeJong, Paul",657557,2019,664,440,0.233,0.237,-0.0039999999999999,0.444,0.446,-0.002,0.322,0.331,-0.009
"Castellanos, Nick",592206,2019,664,475,0.289,0.278,0.0109999999999999,0.525,0.54,-0.015,0.357,0.363,-0.006
"Suárez, Eugenio",553993,2019,662,392,0.271,0.247,0.024,0.572,0.5,0.0719999999999999,0.381,0.355,0.026
"Arenado, Nolan",571448,2019,662,503,0.315,0.27,0.0449999999999999,0.583,0.48,0.1029999999999999,0.392,0.343,0.0489999999999999
"Machado, Manny",592518,2019,661,462,0.256,0.261,-0.005,0.462,0.463,-0.001,0.335,0.343,-0.008
"Bellinger, Cody",641355,2019,661,455,0.305,0.319,-0.014,0.629,0.635,-0.006,0.414,0.43,-0.016
