"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Blackmon, Charlie",453568,2017,725,515,0.331,0.29,0.041,0.601,0.519,0.0819999999999999,0.414,0.372,0.0419999999999999
"Lindor, Francisco",596019,2017,723,566,0.273,0.28,-0.007,0.505,0.5,0.005,0.353,0.357,-0.004
"Inciarte, Ender",542255,2017,718,575,0.304,0.264,0.0399999999999999,0.409,0.351,0.0579999999999999,0.328,0.292,0.036
"Betts, Mookie",605141,2017,712,554,0.264,0.273,-0.009,0.459,0.436,0.023,0.339,0.34,-0.001
"Votto, Joey",458015,2017,707,482,0.32,0.299,0.021,0.578,0.555,0.0229999999999999,0.428,0.416,0.012
"Dozier, Brian",572821,2017,705,478,0.271,0.244,0.027,0.498,0.468,0.0299999999999999,0.362,0.342,0.0199999999999999
"Yelich, Christian",592885,2017,694,471,0.282,0.281,0.0009999999999999,0.439,0.453,-0.014,0.348,0.357,-0.009
"Strange-Gordon, Dee",543829,2017,694,566,0.308,0.261,0.0469999999999999,0.375,0.317,0.0579999999999999,0.312,0.274,0.0379999999999999
"Stanton, Giancarlo",519317,2017,692,437,0.281,0.273,0.008,0.631,0.595,0.036,0.41,0.4,0.0099999999999999
"Rizzo, Anthony",519203,2017,691,486,0.273,0.285,-0.0119999999999999,0.507,0.522,-0.015,0.38,0.395,-0.015
"Machado, Manny",592518,2017,690,524,0.259,0.279,-0.02,0.471,0.517,-0.046,0.328,0.36,-0.0319999999999999
"Andrus, Elvis",462101,2017,689,547,0.297,0.264,0.0329999999999999,0.471,0.406,0.0649999999999999,0.344,0.309,0.0349999999999999
"Bautista, José",430832,2017,686,424,0.203,0.21,-0.0069999999999999,0.366,0.38,-0.014,0.295,0.306,-0.011
"LeMahieu, DJ",518934,2017,682,527,0.31,0.304,0.006,0.409,0.404,0.0049999999999999,0.342,0.341,0.001
"Gardner, Brett",458731,2017,682,480,0.264,0.269,-0.005,0.428,0.404,0.0239999999999999,0.336,0.333,0.003
"Arenado, Nolan",571448,2017,679,507,0.309,0.28,0.0289999999999999,0.586,0.525,0.0609999999999999,0.395,0.366,0.029
"Ozuna, Marcell",542303,2017,679,471,0.312,0.279,0.0329999999999999,0.548,0.514,0.034,0.388,0.364,0.024
"Judge, Aaron",592450,2017,678,338,0.284,0.287,-0.003,0.627,0.668,-0.041,0.43,0.45,-0.02
"Longoria, Evan",446334,2017,677,516,0.261,0.249,0.012,0.424,0.411,0.013,0.312,0.31,0.002
