"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Ozuna, Marcell",542303,2020,267,169,0.338,0.31,0.028,0.636,0.632,0.004,0.444,0.434,0.01
"Lindor, Francisco",596019,2020,266,197,0.258,0.279,-0.021,0.415,0.441,-0.026,0.324,0.346,-0.0219999999999999
"Biggio, Cavan",624415,2020,265,159,0.25,0.214,0.036,0.432,0.343,0.0889999999999999,0.355,0.315,0.0399999999999999
"Merrifield, Whit",593160,2020,265,216,0.282,0.292,-0.01,0.44,0.439,0.001,0.329,0.336,-0.007
"Swanson, Dansby",621020,2020,264,167,0.274,0.267,0.007,0.464,0.474,-0.0099999999999999,0.348,0.354,-0.006
"Abreu, José",547989,2020,262,182,0.317,0.299,0.018,0.617,0.587,0.03,0.411,0.399,0.0119999999999999
"Freeman, Freddie",518692,2020,262,177,0.341,0.339,0.002,0.64,0.66,-0.02,0.456,0.464,-0.008
"Hernández, César",514917,2020,261,177,0.283,0.273,0.0099999999999999,0.408,0.396,0.0119999999999999,0.335,0.33,0.005
"Story, Trevor",596115,2020,259,172,0.289,0.253,0.0359999999999999,0.519,0.457,0.062,0.37,0.335,0.0349999999999999
"Turner, Trea",607208,2020,259,199,0.335,0.303,0.032,0.588,0.515,0.0729999999999999,0.413,0.383,0.0299999999999999
"Tatis Jr., Fernando",665487,2020,257,164,0.277,0.297,-0.0199999999999999,0.571,0.614,-0.043,0.392,0.422,-0.0299999999999999
"Santana, Carlos",467793,2020,255,164,0.199,0.251,-0.0519999999999999,0.35,0.448,-0.098,0.316,0.372,-0.0559999999999999
"Machado, Manny",592518,2020,254,191,0.304,0.3,0.004,0.58,0.54,0.0399999999999999,0.391,0.385,0.006
"Ramírez, José",608070,2020,254,177,0.292,0.264,0.0279999999999999,0.607,0.507,0.0999999999999999,0.415,0.373,0.0419999999999999
"Grisham, Trent",663757,2020,252,153,0.251,0.26,-0.009,0.456,0.477,-0.0209999999999999,0.349,0.364,-0.015
"Marte, Starling",516782,2020,250,188,0.281,0.264,0.017,0.43,0.42,0.01,0.333,0.326,0.007
"Muncy, Max",571970,2020,248,145,0.192,0.229,-0.037,0.389,0.473,-0.0839999999999999,0.316,0.36,-0.0439999999999999
"Seager, Kyle",572122,2020,248,176,0.241,0.252,-0.011,0.433,0.472,-0.0389999999999999,0.338,0.365,-0.0269999999999999
"Devers, Rafael",646240,2020,248,165,0.263,0.256,0.007,0.483,0.46,0.0229999999999999,0.337,0.328,0.009
"Blackmon, Charlie",453568,2020,247,182,0.303,0.276,0.0269999999999999,0.448,0.426,0.022,0.34,0.331,0.009
"Yelich, Christian",592885,2020,247,124,0.205,0.246,-0.041,0.43,0.468,-0.038,0.343,0.374,-0.0309999999999999
"Betts, Mookie",605141,2020,246,182,0.292,0.283,0.009,0.562,0.485,0.077,0.39,0.362,0.028
"Hiura, Keston",669374,2020,246,134,0.212,0.21,0.002,0.41,0.435,-0.025,0.304,0.318,-0.014
"Olson, Matt",621566,2020,245,133,0.195,0.224,-0.0289999999999999,0.424,0.453,-0.029,0.316,0.34,-0.024
"Harper, Bryce",547180,2020,244,150,0.268,0.308,-0.0399999999999999,0.542,0.658,-0.1159999999999999,0.4,0.454,-0.0539999999999999
"Canha, Mark",592192,2020,243,142,0.246,0.241,0.005,0.408,0.415,-0.007,0.351,0.359,-0.008
"Rizzo, Anthony",519203,2020,243,167,0.222,0.266,-0.044,0.414,0.413,0.001,0.326,0.355,-0.0289999999999999
