"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Semien, Marcus",543760,2022,724,547,0.248,0.243,0.005,0.429,0.411,0.018,0.317,0.311,0.006
"Freeman, Freddie",518692,2022,708,517,0.325,0.308,0.017,0.511,0.559,-0.048,0.393,0.406,-0.013
"Turner, Trea",607208,2022,708,527,0.298,0.275,0.0229999999999999,0.466,0.446,0.02,0.35,0.338,0.0119999999999999
"Lindor, Francisco",596019,2022,706,504,0.27,0.253,0.017,0.449,0.439,0.01,0.342,0.333,0.009
"Guerrero Jr., Vladimir",665489,2022,706,526,0.274,0.276,-0.002,0.48,0.482,-0.002,0.351,0.354,-0.003
"Olson, Matt",621566,2022,699,450,0.24,0.243,-0.003,0.477,0.481,-0.004,0.344,0.347,-0.003
"Bichette, Bo",666182,2022,697,499,0.29,0.271,0.0189999999999999,0.469,0.456,0.0129999999999999,0.347,0.334,0.0129999999999999
"Judge, Aaron",592450,2022,696,400,0.311,0.304,0.007,0.686,0.732,-0.0459999999999999,0.458,0.468,-0.01
"Swanson, Dansby",621020,2022,696,462,0.277,0.256,0.021,0.447,0.479,-0.0319999999999999,0.337,0.342,-0.005
"Riley, Austin",663586,2022,693,451,0.273,0.271,0.002,0.528,0.558,-0.03,0.377,0.385,-0.008
"Ramírez, José",608070,2022,685,528,0.28,0.254,0.026,0.514,0.427,0.087,0.363,0.325,0.0379999999999999
"Alonso, Pete",624413,2022,685,478,0.271,0.258,0.013,0.518,0.506,0.012,0.366,0.357,0.009
"Cronenworth, Jake",630105,2022,684,464,0.239,0.218,0.0209999999999999,0.39,0.366,0.024,0.318,0.304,0.014
"Abreu, José",547989,2022,679,495,0.304,0.292,0.012,0.446,0.496,-0.0499999999999999,0.361,0.374,-0.013
"Nimmo, Brandon",607043,2022,673,470,0.274,0.254,0.02,0.433,0.405,0.0279999999999999,0.353,0.337,0.0159999999999999
"Hoskins, Rhys",656555,2022,672,424,0.246,0.238,0.008,0.462,0.465,-0.003,0.345,0.342,0.0029999999999999
"Mullins, Cedric",656775,2022,672,488,0.258,0.233,0.0249999999999999,0.403,0.363,0.04,0.315,0.292,0.023
"Yelich, Christian",592885,2022,671,416,0.252,0.253,-0.001,0.383,0.415,-0.0319999999999999,0.328,0.34,-0.012
"Rosario, Amed",642708,2022,670,530,0.283,0.274,0.0089999999999999,0.403,0.402,0.001,0.311,0.311,0.0
"Schwarber, Kyle",656941,2022,669,379,0.218,0.236,-0.0179999999999999,0.504,0.561,-0.057,0.355,0.381,-0.026
"Walker, Christian",572233,2022,667,459,0.242,0.256,-0.014,0.477,0.497,-0.02,0.346,0.362,-0.016
