"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Semien, Marcus",543760,2023,753,565,0.276,0.258,0.018,0.478,0.434,0.0439999999999999,0.354,0.335,0.0189999999999999
"Acuña Jr., Ronald",660670,2023,735,562,0.337,0.351,-0.0139999999999999,0.596,0.668,-0.072,0.428,0.461,-0.033
"Freeman, Freddie",518692,2023,730,521,0.331,0.315,0.016,0.567,0.567,0.0,0.411,0.406,0.0049999999999999
"Lowe, Nathaniel",663993,2023,724,461,0.262,0.259,0.003,0.414,0.408,0.006,0.34,0.339,0.001
"Bregman, Alex",608324,2023,724,537,0.262,0.263,-0.001,0.441,0.44,0.001,0.351,0.353,-0.002
"Olson, Matt",621566,2023,720,445,0.283,0.262,0.0209999999999999,0.604,0.571,0.033,0.413,0.395,0.0179999999999999
"Schwarber, Kyle",656941,2023,720,373,0.197,0.215,-0.0179999999999999,0.474,0.489,-0.015,0.35,0.363,-0.013
"Kwan, Steven",680757,2023,718,570,0.268,0.281,-0.013,0.37,0.362,0.008,0.313,0.319,-0.006
"Riley, Austin",663586,2023,715,475,0.281,0.268,0.013,0.516,0.524,-0.008,0.363,0.366,-0.003
"Rodríguez, Julio",677594,2023,714,481,0.275,0.268,0.007,0.485,0.475,0.01,0.347,0.343,0.0039999999999999
"Soto, Juan",665742,2023,708,445,0.275,0.279,-0.004,0.519,0.539,-0.02,0.395,0.407,-0.0119999999999999
"Suárez, Eugenio",553993,2023,694,395,0.232,0.218,0.014,0.391,0.421,-0.0299999999999999,0.313,0.323,-0.01
"Witt Jr., Bobby",677951,2023,694,529,0.276,0.289,-0.0129999999999999,0.495,0.534,-0.039,0.343,0.368,-0.0249999999999999
"Betts, Mookie",605141,2023,693,482,0.307,0.288,0.019,0.579,0.572,0.007,0.416,0.408,0.008
"Ramírez, José",608070,2023,691,544,0.282,0.296,-0.014,0.475,0.485,-0.01,0.346,0.36,-0.014
